title,category,slug,nco_code,median_pay_monthly,median_pay_annual,num_jobs,outlook_pct,outlook_desc,female_pct,urban_pct,rural_pct,education_summary,wage_sample_size
"Textile, Fur and Leather Products Machine Operators",Machine Operators,"textile,-fur-and-leather-products-machine-operators",816,,,370,7,Moderate Growth,14.6,100.0,0.0,"{""Graduate"": 17.3, ""Post graduate with technical degree"": 10.0, ""Middle"": 3.5, ""Higher secondary"": 27.6, ""Technical diploma/certificate"": 16.2, ""Secondary"": 10.3, ""Not literate"": 10.8, ""Graduate with technical degree"": 3.2, ""Level 13"": 0.8, ""Literate but no formal schooling"": 0.3}",0
Legal Professionals (Advanced),Professionals,legal-professionals-advanced,261,,,356,18,Very Fast Growth,20.5,100.0,0.0,"{""Level 13"": 39.9, ""Higher secondary"": 1.4, ""Post graduate with technical degree"": 55.6, ""Technical diploma/certificate"": 2.0, ""Graduate"": 1.1}",0
Finance Professionals,Professionals,finance-professionals,243,,,344,18,Very Fast Growth,11.9,100.0,0.0,"{""Level 13"": 16.9, ""Technical diploma/certificate"": 10.8, ""Higher secondary"": 2.3, ""Post graduate with technical degree"": 62.2, ""Graduate with technical degree"": 3.8, ""Graduate"": 3.8, ""Not literate"": 0.3}",0
"Vehicle, Window, Laundry and Other Hand Cleaning Workers",Elementary,"vehicle,-window,-laundry-and-other-hand-cleaning-workers",912,,,315,5,Moderate Growth,26.7,100.0,0.0,"{""Graduate"": 13.7, ""Not literate"": 24.8, ""Higher secondary"": 21.6, ""Secondary"": 16.5, ""Middle"": 8.3, ""Technical diploma/certificate"": 9.2, ""Graduate with technical degree"": 1.6, ""Level 13"": 1.0, ""Literate but no formal schooling"": 0.3, ""Post graduate with technical degree"": 3.2}",0
Secondary Education Teachers,Professionals,secondary-education-teachers,222,,,311,18,Very Fast Growth,84.6,100.0,0.0,"{""Post graduate with technical degree"": 51.4, ""Technical diploma/certificate"": 16.7, ""Graduate with technical degree"": 20.6, ""Graduate"": 4.8, ""Higher secondary"": 3.2, ""Level 13"": 2.9, ""Not literate"": 0.3}",0
"Supply Chain, Logistics and Transport Managers",Managers,"supply-chain,-logistics-and-transport-managers",132,,,307,13,Fast Growth,8.8,100.0,0.0,"{""Middle"": 1.6, ""Higher secondary"": 8.5, ""Graduate"": 10.1, ""Post graduate with technical degree"": 39.7, ""Not literate"": 2.6, ""Graduate with technical degree"": 6.5, ""Secondary"": 2.3, ""Technical diploma/certificate"": 12.4, ""Level 13"": 16.3}",0
Mobile Farm and Heavy Plant Machinery Drivers,Machine Operators,mobile-farm-and-heavy-plant-machinery-drivers,834,,,296,7,Moderate Growth,1.0,100.0,0.0,"{""Not literate"": 5.4, ""Secondary"": 14.5, ""Middle"": 2.7, ""Post graduate with technical degree"": 3.4, ""Higher secondary"": 33.1, ""Graduate"": 24.0, ""Technical diploma/certificate"": 11.8, ""Graduate with technical degree"": 4.1, ""Level 13"": 1.0}",0
Waiters and Bartenders,Service & Sales,waiters-and-bartenders,513,,,292,11,Fast Growth,13.0,100.0,0.0,"{""Technical diploma/certificate"": 18.2, ""Middle"": 6.2, ""Graduate"": 18.2, ""Not literate"": 6.8, ""Graduate with technical degree"": 1.4, ""Higher secondary"": 33.9, ""Secondary"": 9.2, ""Post graduate with technical degree"": 5.5, ""Level 13"": 0.7}",0
Photographers and Image and Sound Recording Equipment Operators,Technicians & Associates,photographers-and-image-and-sound-recording-equipment-operators,343,10000,120000,290,15,Very Fast Growth,14.1,100.0,0.0,"{""Graduate"": 12.4, ""Technical diploma/certificate"": 19.7, ""Post graduate with technical degree"": 38.3, ""Graduate with technical degree"": 5.5, ""Secondary"": 2.1, ""Level 13"": 9.3, ""Higher secondary"": 12.1, ""Middle"": 0.7}",1
Medical and Pharmaceutical Technicians,Technicians & Associates,medical-and-pharmaceutical-technicians,321,,,279,15,Very Fast Growth,33.0,100.0,0.0,"{""Post graduate with technical degree"": 45.9, ""Technical diploma/certificate"": 10.0, ""Graduate with technical degree"": 27.6, ""Graduate"": 6.1, ""Level 13"": 8.6, ""Higher secondary"": 1.8}",0
University and Higher Education Teachers,Professionals,university-and-higher-education-teachers,221,,,263,18,Very Fast Growth,33.1,100.0,0.0,"{""Post graduate with technical degree"": 52.1, ""Level 13"": 37.6, ""Graduate with technical degree"": 3.4, ""Technical diploma/certificate"": 3.8, ""Graduate"": 2.3, ""Higher secondary"": 0.8}",0
Administrative Secretaries,Technicians & Associates,administrative-secretaries,334,,,257,15,Very Fast Growth,21.8,100.0,0.0,"{""Graduate"": 7.0, ""Technical diploma/certificate"": 14.8, ""Post graduate with technical degree"": 52.5, ""Higher secondary"": 5.4, ""Level 13"": 14.0, ""Graduate with technical degree"": 5.1, ""Secondary"": 0.8, ""Not literate"": 0.4}",0
Child Care Workers and Teachers' Aides,Service & Sales,child-care-workers-and-teachers'-aides,531,7500,90000,253,11,Fast Growth,96.4,100.0,0.0,"{""Technical diploma/certificate"": 16.2, ""Graduate"": 15.8, ""Not literate"": 9.9, ""Middle"": 4.7, ""Secondary"": 11.9, ""Post graduate with technical degree"": 11.5, ""Higher secondary"": 26.5, ""Level 13"": 2.8, ""Graduate with technical degree"": 0.8}",1
Commercial Sales Representatives,Technicians & Associates,commercial-sales-representatives,333,,,253,15,Very Fast Growth,4.0,100.0,0.0,"{""Level 13"": 7.9, ""Post graduate with technical degree"": 31.2, ""Technical diploma/certificate"": 21.3, ""Higher secondary"": 15.0, ""Middle"": 1.6, ""Secondary"": 4.0, ""Graduate"": 14.6, ""Graduate with technical degree"": 2.0, ""Not literate"": 2.4}",0
Other Plant and Machine Operators,Machine Operators,other-plant-and-machine-operators,818,15000,180000,251,7,Moderate Growth,12.0,100.0,0.0,"{""Post graduate with technical degree"": 12.4, ""Graduate"": 23.9, ""Higher secondary"": 27.5, ""Technical diploma/certificate"": 17.9, ""Secondary"": 6.8, ""Not literate"": 5.6, ""Graduate with technical degree"": 5.2, ""Level 13"": 0.8}",1
Chemical Products Plant and Machine Operators,Machine Operators,chemical-products-plant-and-machine-operators,814,,,248,7,Moderate Growth,12.9,100.0,0.0,"{""Graduate"": 16.1, ""Technical diploma/certificate"": 20.2, ""Middle"": 3.2, ""Higher secondary"": 25.0, ""Secondary"": 9.7, ""Not literate"": 7.7, ""Graduate with technical degree"": 8.1, ""Post graduate with technical degree"": 9.3, ""Literate but no formal schooling"": 0.4, ""Level 13"": 0.4}",0
"Statistical, Finance and Insurance Clerks",Clerical Support,"statistical,-finance-and-insurance-clerks",422,,,238,16,Very Fast Growth,50.4,100.0,0.0,"{""Post graduate with technical degree"": 46.2, ""Technical diploma/certificate"": 23.9, ""Graduate"": 10.5, ""Higher secondary"": 7.1, ""Graduate with technical degree"": 4.6, ""Level 13"": 7.1, ""Not literate"": 0.4}",0
Food Preparation Assistants,Elementary,food-preparation-assistants,941,,,237,5,Moderate Growth,44.7,100.0,0.0,"{""Higher secondary"": 28.7, ""Not literate"": 8.9, ""Secondary"": 19.8, ""Technical diploma/certificate"": 13.1, ""Graduate"": 16.0, ""Middle"": 5.1, ""Post graduate with technical degree"": 6.8, ""Level 13"": 1.3, ""Graduate with technical degree"": 0.4}",0
Physical and Engineering Science Technicians,Technicians & Associates,physical-and-engineering-science-technicians,311,,,231,15,Very Fast Growth,9.1,100.0,0.0,"{""Technical diploma/certificate"": 8.7, ""Post graduate with technical degree"": 40.7, ""Level 13"": 10.0, ""Graduate with technical degree"": 26.4, ""Higher secondary"": 2.2, ""Graduate"": 12.1}",0
"Messengers, Porters, Doorkeepers and Related Workers",Elementary,"messengers,-porters,-doorkeepers-and-related-workers",962,30000,360000,227,5,Moderate Growth,16.3,100.0,0.0,"{""Graduate"": 16.7, ""Technical diploma/certificate"": 16.3, ""Post graduate with technical degree"": 12.8, ""Higher secondary"": 26.9, ""Graduate with technical degree"": 2.2, ""Middle"": 4.4, ""Not literate"": 10.6, ""Level 13"": 2.2, ""Secondary"": 7.9}",1
Travel Attendants and Travel Stewards,Service & Sales,travel-attendants-and-travel-stewards,511,,,224,11,Fast Growth,7.6,100.0,0.0,"{""Graduate"": 16.5, ""Post graduate with technical degree"": 25.0, ""Higher secondary"": 15.6, ""Graduate with technical degree"": 3.1, ""Technical diploma/certificate"": 29.0, ""Middle"": 1.8, ""Not literate"": 1.3, ""Level 13"": 4.0, ""Secondary"": 3.6}",0
Professional Services Managers,Managers,professional-services-managers,134,,,224,13,Fast Growth,21.9,100.0,0.0,"{""Post graduate with technical degree"": 54.5, ""Level 13"": 37.9, ""Higher secondary"": 0.9, ""Graduate with technical degree"": 1.8, ""Secondary"": 0.4, ""Technical diploma/certificate"": 4.5}",0
Other Personal Services Workers,Service & Sales,other-personal-services-workers,516,,,212,11,Fast Growth,28.3,100.0,0.0,"{""Middle"": 4.2, ""Secondary"": 12.7, ""Higher secondary"": 24.5, ""Technical diploma/certificate"": 14.2, ""Graduate"": 19.3, ""Level 13"": 3.3, ""Not literate"": 11.3, ""Post graduate with technical degree"": 9.4, ""Graduate with technical degree"": 0.9}",0
Creative and Performing Artists,Professionals,creative-and-performing-artists,265,13750,165000,209,18,Very Fast Growth,9.6,100.0,0.0,"{""Not literate"": 8.1, ""Higher secondary"": 19.6, ""Technical diploma/certificate"": 13.4, ""Level 13"": 7.2, ""Middle"": 3.8, ""Graduate"": 14.4, ""Secondary"": 12.4, ""Post graduate with technical degree"": 19.6, ""Graduate with technical degree"": 1.4}",2
Policy and Planning Managers,Managers,policy-and-planning-managers,143,,,209,13,Fast Growth,11.5,100.0,0.0,"{""Technical diploma/certificate"": 10.5, ""Post graduate with technical degree"": 51.7, ""Secondary"": 1.0, ""Higher secondary"": 5.7, ""Graduate with technical degree"": 2.9, ""Graduate"": 8.1, ""Level 13"": 19.6, ""Not literate"": 0.5}",0
"Blacksmiths, Toolmakers and Related Trades Workers",Craft & Trades,"blacksmiths,-toolmakers-and-related-trades-workers",722,,,205,9,Fast Growth,2.9,100.0,0.0,"{""Secondary"": 13.2, ""Graduate"": 20.0, ""Higher secondary"": 18.5, ""Middle"": 7.8, ""Post graduate with technical degree"": 9.3, ""Not literate"": 7.8, ""Technical diploma/certificate"": 14.6, ""Graduate with technical degree"": 7.3, ""Level 13"": 1.5}",0
Process Control Technicians,Technicians & Associates,process-control-technicians,313,,,188,15,Very Fast Growth,6.9,100.0,0.0,"{""Higher secondary"": 15.4, ""Graduate"": 14.9, ""Secondary"": 6.4, ""Graduate with technical degree"": 13.3, ""Post graduate with technical degree"": 24.5, ""Level 13"": 10.1, ""Technical diploma/certificate"": 12.8, ""Middle"": 1.6, ""Not literate"": 1.1}",0
"Glass, Ceramics and Related Plant Operators",Machine Operators,"glass,-ceramics-and-related-plant-operators",813,,,184,7,Moderate Growth,17.4,100.0,0.0,"{""Technical diploma/certificate"": 17.4, ""Higher secondary"": 24.5, ""Graduate with technical degree"": 12.0, ""Graduate"": 16.8, ""Secondary"": 3.3, ""Not literate"": 6.0, ""Post graduate with technical degree"": 16.3, ""Middle"": 1.6, ""Level 13"": 2.2}",0
Legislators and Senior Officials,Managers,legislators-and-senior-officials,111,5000,60000,183,13,Fast Growth,31.1,100.0,0.0,"{""Higher secondary"": 10.9, ""Technical diploma/certificate"": 12.0, ""Secondary"": 7.1, ""Middle"": 3.3, ""Graduate"": 7.1, ""Level 13"": 30.1, ""Post graduate with technical degree"": 25.7, ""Graduate with technical degree"": 2.2, ""Not literate"": 1.6}",1
Finance Managers,Managers,finance-managers,141,,,181,13,Fast Growth,11.0,100.0,0.0,"{""Graduate"": 14.4, ""Middle"": 1.7, ""Technical diploma/certificate"": 22.1, ""Higher secondary"": 16.6, ""Post graduate with technical degree"": 30.9, ""Secondary"": 4.4, ""Level 13"": 5.5, ""Not literate"": 2.2, ""Graduate with technical degree"": 2.2}",0
Personnel Clerks,Clerical Support,personnel-clerks,432,,,181,8,Fast Growth,11.6,100.0,0.0,"{""Level 13"": 6.1, ""Post graduate with technical degree"": 33.1, ""Higher secondary"": 12.7, ""Middle"": 2.2, ""Graduate with technical degree"": 8.3, ""Technical diploma/certificate"": 17.7, ""Graduate"": 15.5, ""Not literate"": 1.1, ""Secondary"": 3.3}",0
Government Regulatory Officials,Technicians & Associates,government-regulatory-officials,335,,,180,15,Very Fast Growth,22.8,100.0,0.0,"{""Graduate"": 9.4, ""Not literate"": 0.6, ""Higher secondary"": 2.2, ""Post graduate with technical degree"": 45.6, ""Technical diploma/certificate"": 21.7, ""Secondary"": 3.3, ""Level 13"": 13.3, ""Graduate with technical degree"": 3.9}",0
Metal Processing and Finishing Plant Operators,Machine Operators,metal-processing-and-finishing-plant-operators,812,,,180,7,Moderate Growth,2.2,100.0,0.0,"{""Technical diploma/certificate"": 23.3, ""Graduate"": 17.8, ""Higher secondary"": 24.4, ""Post graduate with technical degree"": 12.8, ""Graduate with technical degree"": 9.4, ""Not literate"": 4.4, ""Secondary"": 5.0, ""Middle"": 1.7, ""Level 13"": 1.1}",0
Jewellery and Precious Metal Workers,Craft & Trades,jewellery-and-precious-metal-workers,732,,,180,9,Fast Growth,7.8,100.0,0.0,"{""Post graduate with technical degree"": 23.9, ""Graduate"": 22.2, ""Graduate with technical degree"": 3.3, ""Technical diploma/certificate"": 20.6, ""Higher secondary"": 17.2, ""Secondary"": 6.7, ""Level 13"": 1.1, ""Not literate"": 3.3, ""Middle"": 1.7}",0
Financial and Mathematical Associate Professionals,Technicians & Associates,financial-and-mathematical-associate-professionals,331,,,179,15,Very Fast Growth,17.9,100.0,0.0,"{""Graduate"": 4.5, ""Post graduate with technical degree"": 52.5, ""Technical diploma/certificate"": 16.8, ""Level 13"": 19.6, ""Graduate with technical degree"": 4.5, ""Higher secondary"": 1.7, ""Secondary"": 0.6}",0
Business and Administration Professionals,Professionals,business-and-administration-professionals,242,,,177,25,Very Fast Growth,33.9,100.0,0.0,"{""Level 13"": 33.9, ""Post graduate with technical degree"": 47.5, ""Technical diploma/certificate"": 7.3, ""Graduate"": 6.2, ""Higher secondary"": 2.3, ""Graduate with technical degree"": 2.3, ""Secondary"": 0.6}",0
Electronics Engineers,Professionals,electronics-engineers,216,,,167,25,Very Fast Growth,28.7,100.0,0.0,"{""Technical diploma/certificate"": 8.4, ""Graduate"": 4.8, ""Graduate with technical degree"": 16.2, ""Higher secondary"": 3.6, ""Post graduate with technical degree"": 55.1, ""Level 13"": 11.4, ""Not literate"": 0.6}",0
Cashiers and Ticket Clerks,Service & Sales,cashiers-and-ticket-clerks,523,,,155,11,Fast Growth,23.2,100.0,0.0,"{""Post graduate with technical degree"": 36.1, ""Graduate"": 14.2, ""Graduate with technical degree"": 2.6, ""Level 13"": 11.0, ""Higher secondary"": 8.4, ""Technical diploma/certificate"": 25.8, ""Not literate"": 1.3, ""Secondary"": 0.6}",0
Forestry and Related Workers,Agriculture & Fishery,forestry-and-related-workers,621,6000,72000,149,-2,Slow Decline,18.1,100.0,0.0,"{""Middle"": 4.7, ""Graduate"": 12.8, ""Technical diploma/certificate"": 15.4, ""Higher secondary"": 24.2, ""Secondary"": 10.7, ""Not literate"": 14.8, ""Post graduate with technical degree"": 12.1, ""Graduate with technical degree"": 1.3, ""Level 13"": 4.0}",4
Human Resources Managers,Managers,human-resources-managers,142,,,144,13,Fast Growth,9.7,100.0,0.0,"{""Secondary"": 5.6, ""Not literate"": 3.5, ""Technical diploma/certificate"": 16.7, ""Post graduate with technical degree"": 34.0, ""Higher secondary"": 11.8, ""Graduate"": 11.8, ""Middle"": 2.8, ""Graduate with technical degree"": 2.8, ""Level 13"": 11.1}",0
Information and Communications Technology Operations and User Support Technicians,Technicians & Associates,information-and-communications-technology-operations-and-user-support-technicians,351,,,123,23,Very Fast Growth,26.0,100.0,0.0,"{""Post graduate with technical degree"": 56.1, ""Level 13"": 16.3, ""Higher secondary"": 3.3, ""Technical diploma/certificate"": 12.2, ""Graduate with technical degree"": 6.5, ""Graduate"": 4.1, ""Secondary"": 1.6}",0
Metal Products Machine Operators,Machine Operators,metal-products-machine-operators,821,16250,195000,109,7,Moderate Growth,15.6,100.0,0.0,"{""Graduate with technical degree"": 16.5, ""Post graduate with technical degree"": 22.9, ""Technical diploma/certificate"": 19.3, ""Graduate"": 17.4, ""Higher secondary"": 15.6, ""Secondary"": 5.5, ""Not literate"": 1.8, ""Level 13"": 0.9}",1
Electrical Engineers,Professionals,electrical-engineers,215,,,99,18,Very Fast Growth,11.1,100.0,0.0,"{""Graduate with technical degree"": 25.3, ""Post graduate with technical degree"": 59.6, ""Level 13"": 8.1, ""Technical diploma/certificate"": 5.1, ""Graduate"": 1.0, ""Not literate"": 1.0}",0
